6948	HLDS	Charge Ai
6939	Adayo	Car Wireless Charger
6915	EFM	Leather Wireless charger pad
6850	ADAYO	Car Wireless Charger
6838	Powerqi	Wireless Charger pad
6815	Invispower	Wireless Power Charger
6800	Native Union	DROP
6771	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
6740	NXT	wireless charger
6739	NXT	wireless charger
6737	NXT	wirless charger
6694	APTIV	APTIV-35245867
6660	iHome	Bedside Speaker System with Dual Wireless + USB Charging
6659	iHome	Bedside Speaker System with Dual Wireless + USB Charging
6650	MI	Wireless Charger
6613	TEME	Automotive Wireless Charger
6603	Spigen	Wireless Charger
6530	Ubiolabs	Wireless Charging Pad
6514	APTIV	APTIV-35226904
6511	EFM	Leather Wireless charger pad black
6484	iHome	Bedside Speaker System with Dual Wireless + USB Charging
6483	Wireless Power Charger	GACNE A26 Wireless Power Charger
6479	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
6460	Anker	PowerWave 10 Dual Pad
6415	Pioneer	Wireless Charger
6414	HLDS	Super Multi Wireless Charger
6392	Native Union	Drop
6386	testbrand	testproduct
6359	U-WAY	Qi Infrastructure Solution
6358	U-WAY	Qi Infrastructure Solution
6341	mophie	mophie wireless charging base
6308	PROLiNK	Qi Wireless Charging Pad with Cooling Fan
6307	PROLiNK	Qi Wireless Charging Pad
6306	PROLiNK	Qi Wireless Charging Dual Pad
6291	Ansbabe	Wireless Charger&UV Sanitizer
6256	Aristocrat Technologies	MarsX Wireless Charger
6195	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
6188	Astronics Advanced Electronics Systems	Wireless Charging Module
6187	Astronics Advanced Electronics Systems	Wireless Charging Module
6186	Astronics Advanced Electronics Systems	Wireless Charging Module
6183	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
6139	ADAYO	Car Wireless Charger
6111	Crest	Crest USB Wireless Charging Station
6096	ADAYO	Car Wireless Charger
6086	InvisPower	Wireless charger
5974	APRIL X STONE	APRIL X STONE Wireless Charging Pad
5966	Acer	Personal Computer
5900	iHome	Color Changing Bedside Audio System w/ Qi Wireless Charging
5874	ASUS	ASUS Automotive Wireless Charger
5865	NXT	Wireless Charger
5788	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
5787	MI	Wireless Charger
5777	NXP B.V.	Fixed Frequency Single Coil Power Transmitter
5774	U-WAY	Qi Wireless Charging Pad
5773	U-WAY	Twin - Wood Qi Wireless Charging Dual Pad
5772	U-WAY	Twin-Leather Qi Wireless Charging Dual Pad
5771	U-WAY	Twin - Fabric Qi Wireless Charging Dual Pad
5757	Bang & Olufsen	Charging Pad
5741	U-WAY	Arena - Leather Qi Wireless Charging Pad
5738	U-WAY	Arena - Fabric Qi Wireless Charging Pad
5727	U-WAY	Arena - Wood Qi Wireless Charging Pad
5724	U-WAY	Arena Qi Wireless Charging Pad
5723	U-WAY	Arena Qi Wireless Charging Pad
5719	LG Electronics	WC500B15
5696	ADAYO	Car Wireless Charger
5693	HYUNDAI MOTERS - KIA MOTERS	UNIT-ASSY WIRELESS CHARGING
5680	U-WAY	Cross Qi Wireless Charging Pad
5679	U-WAY	Cross Qi Wireless Charging Pad
5678	U-WAY	Sky Wheel Qi Wireless Charging Stand
5677	U-WAY	Sky Wheel Qi Wireless Charging Stand
5661	SIC	Embedded DIY Furniture TX module
5660	EFM	Wireless Charge Pad With Cooling Fan
5655	U-WAY	Arena - Cool Qi Wireless Charging Pad Built-in Cooling Fan
5654	U-WAY	Arena - Cool Qi Wireless Charging Pad Built-in Cooling Fan
